Time,App,TD1,TD2,TD3,TD4,TD5,TD6,TD7,TD8,TD9,Run-in
12.91,2.52,3.57,4.56,5.54,6.53,7.51,8.51,9.51,10.53,11.56,1.35
12.93,2.5,3.53,4.5,5.49,6.48,7.48,8.48,9.5,10.53,11.56,1.37
13.04,2.48,3.54,4.54,5.55,6.54,7.56,8.57,9.58,10.6,11.63,1.41
13.1,2.45,3.46,4.44,5.42,6.43,7.41,8.43,9.46,10.52,11.62,1.48
13.14,2.54,3.58,4.58,5.59,6.58,7.59,8.6,9.61,10.65,11.7,1.44
13.14,2.54,3.6,4.61,5.6,6.59,7.6,8.62,9.65,10.7,11.74,1.4
13.15,2.62,3.66,4.66,5.67,6.67,7.68,8.69,9.7,10.76,11.81,1.34
13.15,2.56,3.6,4.61,5.6,6.6,7.62,8.63,9.66,10.71,11.77,1.38
13.15,2.54,3.58,4.61,5.61,6.62,7.64,8.66,9.69,10.74,11.78,1.37
13.17,2.58,3.62,4.64,5.65,6.68,7.67,8.69,9.73,10.76,11.8,1.37
13.18,2.54,3.58,4.61,5.62,6.61,7.64,8.65,9.66,10.71,11.77,1.41
13.18,2.5,3.54,4.54,5.55,6.56,7.57,8.62,9.67,10.74,11.8,1.38
13.18,2.58,3.64,4.67,5.66,6.68,7.68,8.67,9.73,10.76,11.8,1.38
13.2,2.55,3.6,4.62,5.63,6.61,7.63,8.65,9.69,10.73,11.81,1.39
13.21,2.56,3.58,4.61,5.61,6.6,7.66,8.69,9.71,10.78,11.84,1.37
13.21,2.54,3.59,4.57,5.58,6.58,7.59,8.59,9.63,10.69,11.76,1.45
13.24,2.58,3.64,4.66,5.68,6.69,7.68,8.69,9.73,10.78,11.84,1.4
13.26,2.53,3.6,4.62,5.66,6.71,7.72,8.74,9.79,10.84,11.93,1.33
13.28,2.51,3.59,4.61,5.64,6.66,7.68,8.7,9.72,10.75,11.8,1.48
13.29,2.53,3.61,4.64,5.69,6.72,7.75,8.78,9.82,10.86,11.91,1.38
13.29,2.58,3.64,4.66,5.67,6.69,7.7,8.73,9.74,10.79,11.86,1.43
13.3,2.57,3.6,4.64,5.62,6.65,7.64,8.63,9.64,10.67,11.78,1.52
13.3,2.5,3.56,4.58,5.6,6.64,7.66,8.68,9.7,10.72,11.76,1.55
13.3,2.54,3.6,4.62,5.64,6.65,7.68,8.73,9.78,10.84,11.91,1.39
13.31,2.59,3.64,4.66,5.67,6.69,7.71,8.73,9.76,10.82,11.88,1.43
13.31,2.61,3.66,4.7,5.72,6.75,7.78,8.81,9.85,10.9,11.98,1.33
13.32,2.6,3.64,4.69,5.75,6.78,7.79,8.81,9.84,10.89,11.94,1.38
13.34,2.58,3.63,4.66,5.69,6.71,7.73,8.76,9.81,10.86,11.93,1.41
13.36,2.56,3.6,4.62,5.66,6.69,7.72,8.77,9.83,10.89,11.97,1.39
13.36,2.54,3.58,4.62,5.66,6.68,7.7,8.74,9.8,10.86,11.92,1.44
13.36,2.55,3.59,4.62,5.64,6.67,7.71,8.74,9.79,10.87,11.95,1.41
13.36,2.54,3.59,4.61,5.64,6.66,7.69,8.73,9.78,10.84,11.92,1.44
13.36,2.56,3.61,4.65,5.69,6.72,7.75,8.78,9.8,10.85,11.91,1.45
13.36,2.66,3.7,4.74,5.77,6.78,7.81,8.84,9.87,10.94,12,1.36
13.37,2.59,3.65,4.69,5.74,6.76,7.79,8.82,9.85,10.87,11.92,1.45
13.37,2.66,3.73,4.77,5.8,6.83,7.82,8.84,9.84,10.91,11.97,1.41
13.38,2.58,3.62,4.65,5.67,6.7,7.72,8.75,9.81,10.86,11.95,1.43
13.38,2.58,3.62,4.64,5.66,6.69,7.74,8.77,9.82,10.87,11.94,1.44
13.39,2.53,3.6,4.62,5.64,6.67,7.69,8.71,9.78,10.83,11.94,1.45
13.45,2.56,3.6,4.63,5.66,6.69,7.72,8.77,9.84,10.91,12.01,1.44
13.45,2.54,3.61,4.66,5.69,6.7,7.76,8.79,9.84,10.91,12.02,1.43
13.46,2.56,3.63,4.66,5.7,6.73,7.77,8.82,9.88,10.95,12.03,1.43
13.46,2.58,3.64,4.68,5.72,6.77,7.8,8.86,9.9,10.97,12.09,1.37
13.47,2.54,3.61,4.67,5.71,6.75,7.79,8.82,9.9,10.98,12.06,1.41
13.48,2.56,3.6,4.63,5.66,6.7,7.74,8.78,9.85,10.93,12.03,1.45
13.48,2.52,3.62,4.66,5.7,6.77,7.81,8.85,9.92,10.97,12.07,1.41
13.49,2.6,3.66,4.71,5.75,6.78,7.83,8.9,9.96,11.05,12.13,1.36
13.49,2.57,3.62,4.66,5.7,6.73,7.77,8.83,9.89,10.95,12.05,1.44
13.49,2.6,3.7,4.73,5.75,6.77,7.81,8.84,9.93,10.99,12.08,1.41
13.5,2.6,3.65,4.67,5.7,6.74,7.78,8.85,9.92,10.99,12.09,1.41
13.5,2.57,3.62,4.67,5.73,6.78,7.83,8.87,9.93,10.98,12.08,1.42
13.5,2.53,3.58,4.62,5.63,6.66,7.7,8.73,9.82,10.92,12.03,1.47
13.51,2.57,3.62,4.68,5.72,6.76,7.8,8.84,9.9,10.96,12.05,1.46
13.51,2.58,3.63,4.68,5.72,6.77,7.83,8.88,9.95,11.02,12.1,1.41
13.51,2.62,3.7,4.73,5.76,6.81,7.85,8.9,9.96,11.04,12.12,1.39
13.52,2.6,3.66,4.71,5.75,6.78,7.83,8.9,9.96,11.05,12.13,1.39
13.52,2.58,3.63,4.67,5.73,6.75,7.81,8.86,9.93,11,12.1,1.42
13.53,2.67,3.74,4.77,5.81,6.87,7.91,8.96,10.02,11.1,12.18,1.35
13.54,2.59,3.65,4.68,5.7,6.74,7.77,8.8,9.85,10.96,12.08,1.46
13.55,2.61,3.69,4.74,5.78,6.83,7.89,8.94,10,11.07,12.17,1.38
13.56,2.56,3.62,4.68,5.73,6.77,7.83,8.89,9.96,11.05,12.14,1.42
13.56,2.66,3.73,4.77,5.8,6.84,7.88,8.9,9.95,11,12.14,1.42
13.57,2.67,3.74,4.77,5.81,6.87,7.91,8.96,10.02,11.1,12.18,1.39
13.57,2.61,3.69,4.74,5.78,6.83,7.89,8.94,10,11.07,12.17,1.4
13.57,2.62,3.69,4.72,5.75,6.79,7.82,8.86,9.93,11,12.09,1.48
13.57,2.68,3.77,4.8,5.84,6.86,7.92,8.96,10.02,11.09,12.17,1.4
13.58,2.59,3.63,4.71,5.76,6.79,7.88,8.97,10.02,11.08,12.21,1.37
13.59,2.6,3.69,4.73,5.77,6.82,7.86,8.91,9.97,11.03,12.1,1.49
13.6,2.61,3.69,4.77,5.83,6.86,7.91,8.95,10.01,11.07,12.15,1.45
13.6,2.62,3.7,4.73,5.77,6.8,7.82,8.9,9.96,11.02,12.15,1.45
13.61,2.66,3.73,4.77,5.82,6.86,7.92,8.98,10.04,11.12,12.22,1.39
13.61,2.62,3.68,4.79,5.87,6.92,7.97,9,10.05,11.1,12.16,1.45
13.63,2.6,3.68,4.76,5.83,6.88,7.92,8.99,10.03,11.1,12.2,1.43
13.64,2.66,3.73,4.77,5.82,6.86,7.92,8.98,10.04,11.12,12.22,1.42
13.64,2.64,3.71,4.78,5.83,6.89,7.95,9.01,10.09,11.2,12.32,1.32
13.64,2.6,3.66,4.71,5.74,6.83,7.9,8.99,10.07,11.16,12.24,1.4
13.64,2.61,3.66,4.73,5.77,6.83,7.87,8.91,10,11.1,12.21,1.43
13.65,2.6,3.66,4.72,5.75,6.8,7.86,8.92,9.99,11.07,12.18,1.47
13.65,2.63,3.66,4.7,5.76,6.79,7.86,8.9,9.98,11.06,12.19,1.46
13.65,2.59,3.65,4.7,5.74,6.8,7.86,8.92,10,11.1,12.21,1.44
13.67,2.57,3.65,4.71,5.75,6.82,7.86,8.92,10,11.08,12.2,1.47
13.67,2.63,3.69,4.74,5.79,6.82,7.88,8.96,10.04,11.12,12.21,1.46
13.67,2.56,3.64,4.69,5.75,6.82,7.89,8.95,10.02,11.12,12.23,1.44
13.69,2.64,3.72,4.76,5.79,6.82,7.87,8.92,9.99,11.1,12.2,1.49
13.7,2.67,3.75,4.82,5.91,6.95,8.01,9.06,10.1,11.18,12.27,1.43
13.7,2.57,3.67,4.73,5.78,6.81,7.83,8.89,9.95,11.06,12.2,1.5
13.71,2.64,3.73,4.8,5.85,6.91,7.97,9.04,10.11,11.18,12.26,1.45
13.71,2.58,3.65,4.7,5.74,6.78,7.83,8.9,9.98,11.08,12.19,1.52
13.72,2.58,3.66,4.75,5.81,6.86,7.92,8.98,10.06,11.16,12.26,1.46
13.74,2.59,3.67,4.74,5.8,6.87,7.93,8.99,10.07,11.15,12.26,1.48
13.74,2.58,3.65,4.7,5.76,6.82,7.88,8.96,10.06,11.16,12.28,1.46
13.74,2.72,3.83,4.88,5.92,6.95,7.99,9.04,10.1,11.16,12.26,1.48
13.75,2.62,3.68,4.72,5.76,6.82,7.87,8.96,10.05,11.13,12.29,1.46
13.76,2.64,3.71,4.78,5.83,6.89,7.95,9.01,10.09,11.2,12.32,1.44
13.76,2.68,3.75,4.82,5.86,6.93,7.98,9.05,10.12,11.21,12.33,1.43
13.76,2.64,3.71,4.77,5.83,6.87,7.92,8.99,10.07,11.18,12.29,1.47
13.76,2.59,3.7,4.77,5.86,6.95,8.03,9.08,10.16,11.24,12.33,1.43
13.77,2.64,3.7,4.78,5.87,6.92,8,9.07,10.16,11.24,12.32,1.45
13.77,2.53,3.61,4.67,5.73,6.78,7.86,8.94,10.05,11.16,12.3,1.47
13.78,2.64,3.73,4.79,5.83,6.89,7.95,9.04,10.12,11.23,12.35,1.43
13.78,2.6,3.68,4.74,5.81,6.87,7.95,9.02,10.11,11.2,12.3,1.48
13.79,2.6,3.67,4.73,5.78,6.84,7.9,8.99,10.08,11.17,12.32,1.47
13.8,2.62,3.69,4.75,5.78,6.86,7.95,9.03,10.11,11.19,12.31,1.49
13.81,2.6,3.69,4.76,5.81,6.89,7.97,9.04,10.12,11.22,12.34,1.47
13.81,2.61,3.71,4.76,5.83,6.9,7.98,9.06,10.14,11.24,12.34,1.47
13.81,2.58,3.64,4.71,5.78,6.86,7.92,9.01,10.11,11.22,12.35,1.46
13.82,2.64,3.72,4.79,5.84,6.9,7.97,9.05,10.15,11.27,12.39,1.43
13.82,2.61,3.67,4.72,5.76,6.81,7.87,8.95,10.08,11.2,12.31,1.51
13.82,2.58,3.67,4.75,5.83,6.88,7.96,9.04,10.12,11.24,12.35,1.47
13.83,2.7,3.79,4.85,5.89,6.95,8.01,9.1,10.18,11.29,12.41,1.42
13.83,2.65,3.73,4.8,5.87,6.92,7.97,9.05,10.14,11.24,12.36,1.47
13.84,2.67,3.77,4.85,5.92,6.97,8.02,9.06,10.13,11.22,12.34,1.5
13.85,2.69,3.77,4.81,5.87,6.93,8,9.08,10.18,11.29,12.41,1.44
13.85,2.64,3.73,4.8,5.85,6.91,7.97,9.04,10.15,11.23,12.34,1.51
13.86,2.63,3.71,4.76,5.84,6.89,7.96,9.04,10.14,11.23,12.35,1.51
13.86,2.61,3.68,4.77,5.83,6.9,7.95,9.04,10.13,11.23,12.35,1.51
13.88,2.6,3.69,4.76,5.81,6.87,7.94,9.01,10.11,11.24,12.37,1.51
13.88,2.6,3.71,4.77,5.83,6.89,7.95,9.04,10.14,11.24,12.37,1.51
13.89,2.66,3.76,4.85,5.9,6.97,8.05,9.12,10.2,11.29,12.39,1.5
13.91,2.55,3.64,4.7,5.75,6.84,7.93,9.02,10.15,11.28,12.42,1.49
13.91,2.65,3.72,4.8,5.86,6.94,8,9.09,10.2,11.33,12.46,1.45
13.92,2.64,3.74,4.79,5.87,6.94,8.01,9.1,10.2,11.3,12.42,1.5
13.93,2.65,3.73,4.79,5.85,6.92,8.01,9.11,10.22,11.32,12.45,1.48
13.94,2.6,3.69,4.77,5.87,6.96,8.05,9.14,10.24,11.35,12.48,1.46
13.95,2.66,3.74,4.81,5.9,6.98,8.05,9.16,10.26,11.38,12.49,1.46
13.96,2.69,3.77,4.86,5.92,7,8.08,9.19,10.29,11.39,12.52,1.44
13.96,2.63,3.78,4.86,5.95,7.03,8.09,9.16,10.28,11.38,12.51,1.45
13.97,2.65,3.73,4.77,5.82,6.89,7.96,9.07,10.17,11.29,12.42,1.55
13.97,2.67,3.76,4.83,5.91,6.99,8.08,9.18,10.29,11.4,12.51,1.46
13.99,2.64,3.72,4.79,5.87,6.95,8.05,9.15,10.26,11.39,12.52,1.47
14,2.66,3.74,4.81,5.9,6.97,8.06,9.15,10.26,11.37,12.5,1.5
14.07,2.74,3.84,4.89,5.97,7.04,8.12,9.22,10.32,11.44,12.58,1.49
14.09,2.62,3.7,4.8,5.87,6.97,8.07,9.18,10.29,11.43,12.59,1.5
14.09,2.66,3.79,4.92,5.99,7.09,8.19,9.28,10.38,11.49,12.61,1.48
14.11,2.73,3.84,4.94,6.05,7.13,8.23,9.32,10.43,11.54,12.67,1.44
14.11,2.65,3.77,4.88,5.98,7.07,8.17,9.29,10.41,11.54,12.66,1.45
14.12,2.7,3.8,4.9,6,7.1,8.2,9.28,10.4,11.51,12.63,1.49
14.12,2.71,3.82,4.94,6.03,7.13,8.21,9.31,10.42,11.52,12.62,1.5
14.16,2.58,3.68,4.76,5.85,6.92,8.01,9.11,10.21,11.45,12.64,1.52
14.17,2.69,3.79,4.88,5.96,7.05,8.15,9.25,10.38,11.51,12.67,1.5
14.2,2.67,3.76,4.84,5.92,7.03,8.14,9.25,10.36,11.36,12.53,1.67
14.21,2.59,3.69,4.76,5.84,6.92,8.02,9.13,10.28,11.47,12.65,1.56
14.25,2.65,3.75,4.83,5.92,7,8.11,9.25,10.38,11.52,12.7,1.55
14.28,2.73,3.83,4.93,6,7.11,8.21,9.32,10.43,11.57,12.73,1.55
14.29,2.76,3.87,4.98,6.08,7.2,8.3,9.43,10.55,11.68,12.81,1.48
14.31,2.65,3.76,4.88,5.99,7.08,8.18,9.29,10.44,11.58,12.74,1.57
14.32,2.69,3.82,4.95,6.05,7.15,8.26,9.37,10.5,11.65,12.8,1.52
14.35,2.7,3.83,4.94,6.06,7.18,8.33,9.48,10.61,11.77,12.9,1.45
14.43,2.66,3.75,4.89,5.99,7.11,8.24,9.43,10.6,11.78,12.99,1.44
14.44,2.74,3.86,4.99,6.11,7.2,8.33,9.44,10.6,11.75,12.91,1.53
14.47,2.69,3.83,4.92,6.02,7.13,8.27,9.4,10.56,11.71,12.91,1.56